"Position","Name","Type","Signal","Label"
"L14","PJ10","I/O","",""
"L15","VSS","Power","",""
"L16","NC","NC","",""
"L17","NC","NC","",""
"M1","VREF+","MonoIO","",""
"M2","PC1","I/O","",""
"M3","PC2","I/O","FMC_SDNE0",""
"M4","PC3","I/O","FMC_SDCKE0",""
"M5","VDD","Power","",""
"M13","VDD","Power","",""
"M14","PJ9","I/O","",""
"M15","VSS","Power","",""
"M16","NC","NC","",""
"M17","NC","NC","",""
"N1","VREF-","Power","",""
"N2","PH2","I/O","QUADSPI_BK2_IO0",""
"N3","PA2","I/O","",""
"N4","PA1","I/O","",""
"N5","PA0","I/O","",""
"N6","PJ0","I/O","",""
"N7","VDD","Power","",""
"N8","VDD","Power","",""
"N9","PE10","I/O","FMC_D7",""
"N10","VDD","Power","",""
"N11","VDD","Power","",""
"N12","VDD","Power","",""
"N13","PJ8","I/O","",""
"N14","PJ7","I/O","",""
"N15","PJ6","I/O","",""
"N16","VSS","Power","",""
"N17","NC","NC","",""
"P1","VSSA","Power","",""
"P2","PH3","I/O","QUADSPI_BK2_IO1",""
"P3","PH4","I/O","USB_OTG_HS_ULPI_NXT",""
"P4","PH5","I/O","FMC_SDNWE",""
"P5","PI15","I/O","",""
"P6","PJ1","I/O","",""
"P7","PF13","I/O","FMC_A7",""
"P8","PF14","I/O","FMC_A8",""
"P9","PE9","I/O","FMC_D6",""
"P10","PE11","I/O","FMC_D8",""
"P11","PB10","I/O","USB_OTG_HS_ULPI_D3",""
"P12","PB11","I/O","USB_OTG_HS_ULPI_D4",""
"P13","PH10","I/O","",""
"P14","PH11","I/O","",""
"P15","PD15","I/O","FMC_D1",""
"P16","PD14","I/O","FMC_D0",""
"P17","VDD","Power","",""
"R1","PC2_C","I/O","",""
"R2","PC3_C","I/O","",""
"R3","PA6","I/O","",""
"R4","VSS","Power","",""
"R5","PA7","I/O","",""
"R6","PB2","I/O","",""
"R7","PF12","I/O","FMC_A6",""
"R8","VSS","Power","",""
"R9","PF15","I/O","FMC_A9",""
"R10","PE12","I/O","FMC_D9",""
"R11","PE15","I/O","FMC_D12",""
"R12","PJ5","I/O","",""
"R13","PH9","I/O","",""
"R14","PH12","I/O","",""
"R15","PD11","I/O","",""
"R16","PD12","I/O","",""
"R17","PD13","I/O","",""
"T1","PA0_C","I/O","",""
"T2","PA1_C","I/O","",""
"T3","PA5","I/O","USB_OTG_HS_ULPI_CK",""
"T4","PC4","I/O","",""
"T5","PB1","I/O","USB_OTG_HS_ULPI_D2",""
"T6","PJ2","I/O","",""
"T7","PF11","I/O","FMC_SDNRAS",""
"T8","PG0","I/O","FMC_A10",""
"T9","PE8","I/O","FMC_D5",""
"T10","PE13","I/O","FMC_D10",""
"T11","PH6","I/O","",""
"T12","VSS","Power","",""
"T13","PH8","I/O","I2C3_SDA",""
"T14","PB12","I/O","USB_OTG_HS_ULPI_D5",""
"T15","PB15","I/O","",""
"T16","PD10","I/O","FMC_D15",""
"T17","PD9","I/O","FMC_D14",""
"U1","VSS","Power","",""
"U2","PA3","I/O","USB_OTG_HS_ULPI_D0",""
"U3","PA4","I/O","DAC1_OUT1",""
"U4","PC5","I/O","",""
"U5","PB0","I/O","USB_OTG_HS_ULPI_D1",""
"U6","PJ3","I/O","",""
"U7","PJ4","I/O","",""
"U8","PG1","I/O","FMC_A11",""
"U9","PE7","I/O","FMC_D4",""
"U10","PE14","I/O","FMC_D11",""
"U11","VCAP","Power","",""
"U12","VDDLDO","Power","",""
"U13","PH7","I/O","I2C3_SCL",""
"U14","PB13","I/O","USB_OTG_HS_ULPI_D6",""
"U15","PB14","I/O","",""
"U16","PD8","I/O","FMC_D13",""
"U17","VSS","Power","",""
